"region","name","name.short","method","sex","age","adult","tstart","tend","days","median.long","median.lat","uere.calibtration","color","speed.est","speed.high","speed.low","tau.position.est","tau.position.high","tau.position.low","tau.velocity.est","tau.velocity.high","tau.velocity.low","area.low","area.est","area.high","x.df","y.df","cell.area","total.cells","forest","floodplain","pasture","crop","dirt","savannah","water","urban","plantation"
"Pantanal","PA_09_SONIAMADALENA","SONIAMADALENA","VHF/GPS TS","FEMALE","ADULT","Yes",2009-09-24,2009-11-07 04:08:00,44.1722222222222,-55.822564185,-19.281608025,TRUE,"#4477AA",1.66834024169669,1.81058344868234,1.52593823782454,12.7581844942874,26.847057088651,0,1.87804567258715,2.5356784383887,1.39097114796804,4.3007540739647,19.4078744923006,45.6799313912462,3.21069115257995,3.21069115257995,100,193099,0.505978798440178,0.494021201559822,0,0,0,0,0,0,0
"Pantanal","PA_10_VIVEK","VIVEK","VHF","MALE","ADULT","Yes",2009-10-03,2016-06-21 12:51:00,2453.53541666667,-55.754477295,-19.32158516,TRUE,"#4477AA",NA,NA,NA,0.538673607454859,1.0675086637331,0.271819110445159,NA,NA,NA,1.66022711954496,2.08052336480618,2.54752780747501,84.3058049182898,84.3058049182898,100,20700,0.622222222222222,0.377777777777778,0,0,0,0,0,0,0
"Pantanal","PA_11_LUIS","LUIS","VHF","MALE","ADULT","Yes",2010-05-16,2011-10-08 07:00:00,510.291666666667,-55.74920126,-19.30452433,TRUE,"#4477AA",8.99786503610628,13.2765428161136,4.73975259477821,NA,NA,NA,NA,NA,NA,1.62597507398621,2.20110483210822,2.86197972110264,48.5548962372044,48.5548962372044,100,21906,0.692139139961654,0.307860860038346,0,0,0,0,0,0,0
"Pantanal","PA_12_FELIPPE","FELIPPE","VHF","MALE","ADULT","Yes",2010-05-16,2012-12-04 07:10:00,933.298611111111,-55.75507812,-19.31686874,TRUE,"#4477AA",NA,NA,NA,1.04561937549834,9.39372775100728,0.116388286673552,NA,NA,NA,1.41785257288035,2.90617545832212,4.91957771432886,10.4095439525292,10.4095439525292,100,28907,0.523333448645657,0.476666551354343,0,0,0,0,0,0,0
"Pantanal","PA_13_RITA","RITA","VHF/GPS TS","FEMALE","ADULT","Yes",2012-05-23,2012-07-11 17:45:00,49.7395833333333,-55.75895325,-19.315273935,TRUE,"#4477AA",14.1958641187126,15.2800606199688,13.1105723663393,0.316535016512319,0.414188260754082,0.241905496056401,0.441756037461701,0.584994471076272,0.333590155604087,4.90134346912976,5.94039058916041,7.07783536722551,114.289462315065,114.289462315065,100,59081,0.568896938101928,0.431103061898072,0,0,0,0,0,0,0
"Pantanal","PA_15_MORENA","MORENA","VHF/GPS TS","FEMALE","SUB-ADULT","No",2011-05-22,2012-02-11 15:50:00,265.659722222222,-55.75025183,-19.31441972,TRUE,"#4477AA",8.5896400319314,8.76299201550889,8.41624003823881,0.374686520595105,0.41559230930757,0.337806993949368,0.564318548926778,0.610157679972843,0.52192316038208,3.65858227623035,3.98266489498105,4.32030414893537,556.436752344977,556.436752344977,100,39623,0.751407011079424,0.248592988920576,0,0,0,0,0,0,0
"Pantanal","PA_16_DORA","DORA","VHF","FEMALE","ADULT","Yes",2011-08-13,2014-01-28 04:23:00,899.182638888889,-55.7544309,-19.30104086,TRUE,"#4477AA",NA,NA,NA,0.170970369616824,0.389379860141221,0.0750703112285054,NA,NA,NA,4.58036060334102,5.54576203777917,6.60210748035511,115.442530396877,115.442530396877,100,55136,0.562554410911201,0.437445589088799,0,0,0,0,0,0,0
"Pantanal","PA_18_NIC","NIC","VHF","MALE","SUB-ADULT","No",2011-08-17,2013-04-27 20:05:00,619.836805555556,-55.75339348,-19.31610972,TRUE,"#4477AA",NA,NA,NA,1.77338906603108,3.70597261929279,0.848605508617794,NA,NA,NA,1.29169068515948,1.80255768092403,2.39722377817025,40.6747371890107,40.6747371890107,100,17933,0.595773155634863,0.404226844365137,0,0,0,0,0,0,0
"Pantanal","PA_19_SERGIAO","SERGIAO","GPS+VHF","MALE","ADULT","Yes",2013-10-20,2015-05-11 10:00:00,568.416666666667,-55.77011352,-19.29156689,TRUE,"#4477AA",13.9735554364388,14.1760191061142,13.7710514595234,0.429650183267215,0.458825025371022,0.402330452294485,0.388440164427108,0.40806630441781,0.369757952829328,7.62705014259205,8.0810660716373,8.54802266688937,1182.8664748239,1182.8664748239,100,80369,0.474200251340691,0.523211686097874,0.00258806256143538,0,0,0,0,0,0
"Pantanal","PA_20_SY","SY","VHF/GPS TEL","FEMALE","ADULT","Yes",2014-07-15,2014-09-11 22:00:00,58.9166666666667,-55.838246235,-19.294199155,TRUE,"#4477AA",9.80173990488123,10.133055671186,9.47027119054591,0.421759291359036,0.527757338795766,0.337050547233628,0.533544165187553,0.607842900125484,0.468327220975873,4.86114147920222,5.86055933316309,6.95201862266458,120.544085123855,120.544085123855,100,58331,0.582246146988737,0.417753853011263,0,0,0,0,0,0,0
