name,sex,age,calibrated,median.longitude,median.latitude,longitude.df,latitude.df,adult,start,end,duration.days,method,biome,area.est,area.low,area.high,speed.est,speed.low,speed.high,tau.position.est,tau.position.low,tau.position.high,tau.velocity.est,tau.velocity.low,tau.velocity.high,hfi.mean,total.cells,cell.area,total.area,forest,floodplain,pasture,crop,dirt,savannah,water,urban,plantation,other
AF_01_JOANA,FEMALE,ADULT,FALSE,-52.35778234,-22.52888473,216.77694220743,216.77694220743,Yes,1997-07-10,2000-06-08,1064,VHF,Atlantic forest,7.975964565552838,6.949475215918804,9.072128747340146,NA,NA,NA,0.3308143434791008,0.27884220513667685,0.3924733337905804,NA,NA,NA,0.13636274933815,6352,900,5716800,0.9464735516372796,0,0,0,0,0,0,0,0,0.0535264483627204
AF_02_PAULETE,FEMALE,ADULT,FALSE,-52.3529978,-22.52567297,211.4807260042153,211.4807260042153,Yes,1998-02-17,2000-10-06,962,VHF,Atlantic forest,6.640704024785851,5.77579859870792,7.565072272309804,NA,NA,NA,0.1007178426047839,0.08091695566198043,0.1253641308669292,NA,NA,NA,0.16239528656005858,5788,900,5209200,1,0,0,0,0,0,0,0,0,0
AF_05_CHUCHU,FEMALE,SUB-ADULT,FALSE,-52.36430426,-22.52831081,45.97020472173871,45.97020472173871,No,1998-08-04,2001-06-08,1039,VHF,Atlantic forest,20.99052724407231,15.36602904467746,27.47862401392722,NA,NA,NA,3.354865313295577,2.2658918191167254,4.967192685633697,NA,NA,NA,0.1782068196270201,10492,900,9442800,0.9450057186427755,0,0,0,0,0,0,0,0,0.054994281357224555
AF_12_PATRICIA,FEMALE,JUVENILE,FALSE,-52.35106883,-22.548133835,75.3675279752564,75.3675279752564,No,2000-08-08,2003-01-07,882,VHF,Atlantic forest,8.665223058844624,6.819985774683485,10.728045418055771,NA,NA,NA,0.32772347139758645,0.22524486798201673,0.47682628539825184,NA,NA,NA,0.09595014899969101,7672,900,6904800,0.9482533889468197,0,0,0,0,0,0,0,0,0.051746611053180396
AF_14_JAMESBOND,MALE,ADULT,FALSE,-52.17086849,-22.62189408,126.97617826926266,126.97617826926266,Yes,2001-02-13,2003-06-24,861,VHF,Atlantic forest,1.9653911786683715,1.6384288230755206,2.32165775507558,NA,NA,NA,0.15322323024674997,0.11618143050185879,0.20207496314889103,NA,NA,NA,0.18685728311538696,1059,900,953100,0.8970727101038716,0,0,0,0,0,0,0,0,0.10292728989612843
AF_15_GEORGETE,FEMALE,ADULT,FALSE,-52.17245517,-22.61663555,153.26598611378566,153.26598611378566,Yes,2001-02-13,2003-02-06,723,VHF,Atlantic forest,1.1437329795709,0.9698298210527183,1.331765570283081,NA,NA,NA,0.046820204279581286,0.03434643524670785,0.06382413525700138,NA,NA,NA,0.2280571460723877,904,900,813600,0.8185840707964602,0,0,0,0,0,0,0,0,0.18141592920353983
AF_17_ESPERTA,FEMALE,ADULT,FALSE,-52.36865723,-22.39991202,32.759440189732,32.759440189732,Yes,2002-06-06,2004-03-02,635,VHF,Atlantic forest,4.749681717783387,3.264566951648165,6.508836152921241,15.106246674842355,12.262871940187889,17.944062028158246,0.30550414740534654,0.11502591198873902,0.8114065993322005,0.285938455196535,0.10289223389124356,0.7946255715139928,0.03914438188076019,4754,900,4278600,1,0,0,0,0,0,0,0,0,0
AF_20_CHICO,MALE,ADULT,FALSE,-52.24621217,-22.59782759,115.75615447644269,115.75615447644269,Yes,2003-06-30,2005-09-15,808,VHF,Atlantic forest,16.27916110034461,13.448953897844595,19.375604662204182,NA,NA,NA,0.8640451456541833,0.6684067266028088,1.1169456919188063,NA,NA,NA,0.032486692070961,17905,900,16114500,1,0,0,0,0,0,0,0,0,0
AF_23_TONHA,FEMALE,ADULT,FALSE,-52.21806685,-22.58463468,229.36523934817708,229.36523934817708,Yes,2004-04-20,2006-12-05,959,VHF,Atlantic forest,2.323885983691727,2.0328488106438996,2.6341098861528014,NA,NA,NA,0.1779390072658864,0.14425269282693698,0.2194918492423229,NA,NA,NA,0.00379258394241333,2572,900,2314800,1,0,0,0,0,0,0,0,0,0
AF_24_TINA,FEMALE,ADULT,FALSE,-52.275738175,-22.565720900000002,180.59310111377013,180.59310111377013,Yes,2004-05-26,2006-07-07,772,VHF,Atlantic forest,2.4522937061565426,2.107663947380192,2.822636192749354,NA,NA,NA,0.1279553998820553,0.10326778394760287,0.15854493757011354,NA,NA,NA,0.005117133259773254,2713,900,2441700,1,0,0,0,0,0,0,0,0,0
AF_25_MAMA,FEMALE,ADULT,FALSE,-52.251841549999995,-22.59890681,107.30146688352164,107.30146688352164,Yes,2004-05-20,2005-10-19,517,VHF,Atlantic forest,1.9352647611621252,1.5864623211035243,2.318209500082328,NA,NA,NA,0.14342845822433242,0.10750843646495754,0.19134984476603786,NA,NA,NA,0.01639363169670105,2140,900,1926000,1,0,0,0,0,0,0,0,0,0
PA_03_BANDAID,MALE,ADULT,TRUE,-55.7586706,-19.30515598,71.4510560238393,71.4510560238393,Yes,2008-09-19,2010-05-22,610,VHF,Pantanal,1.9810019749591639,1.5484638736777159,2.4660071602949305,NA,NA,NA,0.18405335633337241,0.09055133591747704,0.37410423197346937,NA,NA,NA,0.22595934569835663,19708,100,1970800,0.6071138623909073,0.39288613760909274,0,0,0,0,0,0,0,0
