timestamp,location-long,location-lat,individual-local-identifier
1997-07-10 04:30:00,-52.35842067,-22.53958255,AF_01_JOANA
1997-07-10 05:30:00,-52.35646765,-22.53673583,AF_01_JOANA
1997-07-10 07:30:00,-52.35737817,-22.538372,AF_01_JOANA
1997-07-10 18:30:00,-52.35798484,-22.53975784,AF_01_JOANA
1997-07-10 19:00:00,-52.35760665,-22.53787331,AF_01_JOANA
1997-07-10 20:00:00,-52.35903548,-22.53881865,AF_01_JOANA
1997-07-10 20:30:00,-52.36127083,-22.53871847,AF_01_JOANA
1997-07-10 21:00:00,-52.35833193,-22.53846331,AF_01_JOANA
1997-07-10 21:30:00,-52.35921701,-22.53749842,AF_01_JOANA
1997-07-11 04:30:00,-52.35963873,-22.54183933,AF_01_JOANA
1997-07-11 05:00:00,-52.35748261,-22.54209238,AF_01_JOANA
1997-07-11 05:30:00,-52.3614666,-22.53885229,AF_01_JOANA
1997-07-11 06:00:00,-52.36179373,-22.53949081,AF_01_JOANA
1997-07-11 06:30:00,-52.36198041,-22.53968793,AF_01_JOANA
1997-07-11 07:00:00,-52.36101842,-22.53975027,AF_01_JOANA
1997-07-11 07:30:00,-52.36158099,-22.53961002,AF_01_JOANA
1997-07-11 19:00:00,-52.35763121,-22.53839697,AF_01_JOANA
1997-07-11 19:30:00,-52.35684725,-22.53777133,AF_01_JOANA
1997-07-11 20:00:00,-52.35904316,-22.53761731,AF_01_JOANA
1997-07-11 20:30:00,-52.35827846,-22.53796699,AF_01_JOANA
1997-07-11 21:00:00,-52.35992923,-22.53873884,AF_01_JOANA
1997-07-22 08:00:00,-52.35726899,-22.5401342,AF_01_JOANA
1997-07-22 09:00:00,-52.35599817,-22.54043394,AF_01_JOANA
1997-07-22 09:30:00,-52.35503009,-22.53987307,AF_01_JOANA
1997-07-22 10:00:00,-52.35570652,-22.53944286,AF_01_JOANA
1997-07-22 10:30:00,-52.35961062,-22.54095442,AF_01_JOANA
1997-07-22 15:00:00,-52.35935156,-22.54130886,AF_01_JOANA
1997-07-22 15:30:00,-52.3594691,-22.53941111,AF_01_JOANA
1997-07-22 16:00:00,-52.35918998,-22.5397025,AF_01_JOANA
1997-07-22 16:30:00,-52.35859408,-22.5394185,AF_01_JOANA
1997-07-22 17:00:00,-52.35831089,-22.53830091,AF_01_JOANA
1997-07-22 17:30:00,-52.35796699,-22.53892703,AF_01_JOANA
1997-07-22 18:00:00,-52.35904166,-22.53746378,AF_01_JOANA
1997-07-23 22:00:00,-52.35264185,-22.52727521,AF_01_JOANA
1997-07-23 22:30:00,-52.35198189,-22.5263956,AF_01_JOANA
1997-07-23 23:00:00,-52.35406344,-22.52649552,AF_01_JOANA
1997-07-24 00:00:00,-52.35297348,-22.52638727,AF_01_JOANA
1997-07-24 00:30:00,-52.34966774,-22.52737244,AF_01_JOANA
1997-07-24 01:00:00,-52.35070036,-22.52858312,AF_01_JOANA
1997-07-24 01:30:00,-52.3484801,-22.53322622,AF_01_JOANA
1997-07-24 02:00:00,-52.35311315,-22.52774995,AF_01_JOANA
1997-07-24 02:30:00,-52.35304708,-22.52695568,AF_01_JOANA
1997-07-29 04:30:00,-52.35693345,-22.53564804,AF_01_JOANA
1997-07-29 18:30:00,-52.35448037,-22.53834223,AF_01_JOANA
1997-07-29 19:30:00,-52.35577993,-22.53700356,AF_01_JOANA
1997-07-29 20:00:00,-52.35490428,-22.53794125,AF_01_JOANA
1997-07-29 20:30:00,-52.35733116,-22.5365479,AF_01_JOANA
1997-07-29 21:00:00,-52.35691983,-22.53624428,AF_01_JOANA
1997-08-22 04:30:00,-52.36073326,-22.53843398,AF_01_JOANA
1997-08-22 05:00:00,-52.36053131,-22.5386615,AF_01_JOANA
1997-08-22 05:30:00,-52.36199002,-22.53868528,AF_01_JOANA
1997-08-22 06:00:00,-52.36146873,-22.53906905,AF_01_JOANA
1997-08-22 06:30:00,-52.3626775,-22.53938397,AF_01_JOANA
1997-08-22 07:00:00,-52.35994682,-22.53954256,AF_01_JOANA
1997-08-22 07:30:00,-52.36031619,-22.5395304,AF_01_JOANA
1997-08-22 18:30:00,-52.3587332,-22.53972442,AF_01_JOANA
1997-08-22 19:00:00,-52.35978552,-22.53995037,AF_01_JOANA
1997-08-22 19:30:00,-52.3598792,-22.53859475,AF_01_JOANA
1997-08-22 20:00:00,-52.36310516,-22.53837778,AF_01_JOANA
1997-08-22 20:30:00,-52.3673165,-22.53948912,AF_01_JOANA
1997-08-22 21:00:00,-52.36768551,-22.53944083,AF_01_JOANA
1997-08-22 21:30:00,-52.36657227,-22.53895352,AF_01_JOANA
1997-08-24 04:30:00,-52.35577993,-22.53700356,AF_01_JOANA
1997-08-24 05:00:00,-52.35475706,-22.53680443,AF_01_JOANA
1997-08-24 05:30:00,-52.35427641,-22.54035813,AF_01_JOANA
1997-08-24 06:30:00,-52.35695814,-22.54016392,AF_01_JOANA
1997-08-24 07:00:00,-52.36068309,-22.5402589,AF_01_JOANA
1997-08-24 18:30:00,-52.35892526,-22.54047247,AF_01_JOANA
1997-08-24 19:00:00,-52.35961926,-22.53885888,AF_01_JOANA
1997-08-24 19:30:00,-52.35711806,-22.53762453,AF_01_JOANA
1997-08-24 21:00:00,-52.35839345,-22.53878795,AF_01_JOANA
1997-08-24 21:30:00,-52.35780488,-22.53925356,AF_01_JOANA
1997-08-25 04:30:00,-52.36371637,-22.53923065,AF_01_JOANA
1997-08-25 05:00:00,-52.36449558,-22.53936856,AF_01_JOANA
1997-08-25 05:30:00,-52.36328132,-22.5384937,AF_01_JOANA
1997-08-25 06:00:00,-52.36194433,-22.53898373,AF_01_JOANA
1997-08-25 06:30:00,-52.36132502,-22.53928703,AF_01_JOANA
1997-08-25 07:00:00,-52.36067583,-22.53951833,AF_01_JOANA
1997-08-25 07:30:00,-52.35877138,-22.54064538,AF_01_JOANA
1997-08-26 08:00:00,-52.35644691,-22.54058371,AF_01_JOANA
1997-08-26 08:30:00,-52.35973867,-22.53913787,AF_01_JOANA
1997-08-26 10:00:00,-52.36201113,-22.54182829,AF_01_JOANA
1997-08-26 10:30:00,-52.36150859,-22.54313318,AF_01_JOANA
1997-08-26 11:00:00,-52.36195468,-22.54301198,AF_01_JOANA
1997-08-26 11:30:00,-52.36039666,-22.5427813,AF_01_JOANA
1997-08-26 13:00:00,-52.36121407,-22.54284664,AF_01_JOANA
1997-08-26 13:30:00,-52.35999167,-22.54312794,AF_01_JOANA
1997-08-27 23:00:00,-52.35570652,-22.53944286,AF_01_JOANA
1997-09-16 08:30:00,-52.35950932,-22.54053979,AF_01_JOANA
1997-09-16 09:30:00,-52.35626615,-22.54099168,AF_01_JOANA
1997-09-16 10:00:00,-52.36019167,-22.54071467,AF_01_JOANA
1997-09-16 10:30:00,-52.35834421,-22.54170575,AF_01_JOANA
1997-09-16 11:00:00,-52.35868052,-22.54129646,AF_01_JOANA
1997-09-16 14:30:00,-52.35663747,-22.54018469,AF_01_JOANA
1997-09-16 15:00:00,-52.3557541,-22.54232372,AF_01_JOANA
1997-09-16 17:00:00,-52.35626615,-22.54099168,AF_01_JOANA
1997-09-17 04:30:00,-52.36040102,-22.53826518,AF_01_JOANA
1997-09-17 05:00:00,-52.36101611,-22.53951545,AF_01_JOANA
1997-09-17 05:30:00,-52.36050091,-22.53952884,AF_01_JOANA
1997-09-17 06:00:00,-52.3605969,-22.53940158,AF_01_JOANA
1997-09-17 06:30:00,-52.36320824,-22.53897303,AF_01_JOANA
1997-09-17 07:00:00,-52.36169733,-22.54056645,AF_01_JOANA
1997-09-17 07:30:00,-52.35803018,-22.5404168,AF_01_JOANA
1997-09-17 18:30:00,-52.35712687,-22.54051475,AF_01_JOANA
1997-09-17 19:00:00,-52.3593344,-22.53955677,AF_01_JOANA
1997-09-17 19:30:00,-52.36009849,-22.53914386,AF_01_JOANA
1997-09-17 20:00:00,-52.36061395,-22.53915757,AF_01_JOANA
1997-09-17 20:30:00,-52.36106182,-22.54021054,AF_01_JOANA
1997-09-17 21:00:00,-52.36107787,-22.53788011,AF_01_JOANA
1997-09-17 21:30:00,-52.36005438,-22.53861134,AF_01_JOANA
1997-09-18 04:30:00,-52.35589198,-22.54250321,AF_01_JOANA
1997-09-18 05:00:00,-52.36125312,-22.54187084,AF_01_JOANA
1997-09-18 05:30:00,-52.36110277,-22.54141147,AF_01_JOANA
1997-09-18 06:00:00,-52.36119494,-22.54089586,AF_01_JOANA
1997-09-18 06:30:00,-52.36317332,-22.54135781,AF_01_JOANA
1997-09-18 07:00:00,-52.36070786,-22.54179416,AF_01_JOANA
1997-09-18 07:30:00,-52.36002516,-22.54158316,AF_01_JOANA
1997-09-18 18:30:00,-52.35811442,-22.53710129,AF_01_JOANA
1997-09-18 19:00:00,-52.35834661,-22.53698191,AF_01_JOANA
1997-09-18 19:30:00,-52.35851392,-22.53718824,AF_01_JOANA
1997-09-18 20:00:00,-52.35909779,-22.53823104,AF_01_JOANA
1997-09-18 20:30:00,-52.35710214,-22.53798595,AF_01_JOANA
1997-09-18 21:00:00,-52.36023717,-22.53940462,AF_01_JOANA
1997-09-18 21:30:00,-52.3601699,-22.53849294,AF_01_JOANA
1997-09-19 04:30:00,-52.36817065,-22.53933735,AF_01_JOANA
1997-09-19 05:00:00,-52.36763556,-22.53930577,AF_01_JOANA
1997-09-19 05:30:00,-52.36263151,-22.53866179,AF_01_JOANA
1997-09-19 06:00:00,-52.36263672,-22.5382011,AF_01_JOANA
1997-09-19 07:30:00,-52.35952893,-22.53857062,AF_01_JOANA
1997-09-19 18:30:00,-52.36162641,-22.53928448,AF_01_JOANA
1997-09-19 19:00:00,-52.36200343,-22.53807098,AF_01_JOANA
1997-09-19 19:30:00,-52.36232684,-22.53833018,AF_01_JOANA
1997-09-19 20:00:00,-52.36110569,-22.53675085,AF_01_JOANA
1997-09-19 21:30:00,-52.36210287,-22.53829594,AF_01_JOANA
1997-09-26 03:30:00,-52.3587332,-22.53972442,AF_01_JOANA
1997-10-21 04:30:00,-52.36227603,-22.54206992,AF_01_JOANA
1997-10-21 05:00:00,-52.36225754,-22.54117589,AF_01_JOANA
1997-10-21 05:30:00,-52.36175577,-22.54156852,AF_01_JOANA
1997-10-21 06:00:00,-52.36102649,-22.54156566,AF_01_JOANA
1997-10-21 06:30:00,-52.36050175,-22.54259073,AF_01_JOANA
1997-10-21 07:00:00,-52.36094049,-22.54171994,AF_01_JOANA
1997-10-21 07:30:00,-52.35963873,-22.54183933,AF_01_JOANA
1997-10-21 18:30:00,-52.35967082,-22.54213712,AF_01_JOANA
1997-10-21 19:00:00,-52.35986579,-22.54119613,AF_01_JOANA
1997-10-21 19:30:00,-52.36020396,-22.5409765,AF_01_JOANA
1997-10-21 20:00:00,-52.36059691,-22.54039512,AF_01_JOANA
1997-10-21 20:30:00,-52.35925009,-22.54087617,AF_01_JOANA
1997-10-21 21:30:00,-52.35980408,-22.53886635,AF_01_JOANA
1997-10-22 04:30:00,-52.36357724,-22.53892474,AF_01_JOANA
1997-10-22 05:00:00,-52.36243993,-22.53994597,AF_01_JOANA
1997-10-22 05:30:00,-52.36294,-22.53938175,AF_01_JOANA
1997-10-22 06:00:00,-52.36281361,-22.53938282,AF_01_JOANA
1997-10-22 06:30:00,-52.36287363,-22.53955392,AF_01_JOANA
1997-10-22 07:00:00,-52.36260149,-22.53956526,AF_01_JOANA
1997-10-22 07:30:00,-52.36262445,-22.53893281,AF_01_JOANA
1997-10-22 18:30:00,-52.35901411,-22.54358781,AF_01_JOANA
1997-10-22 19:00:00,-52.3597029,-22.54243491,AF_01_JOANA
1997-10-22 19:30:00,-52.35962723,-22.54066525,AF_01_JOANA
1997-10-22 20:00:00,-52.36262714,-22.54019729,AF_01_JOANA
1997-10-22 20:30:00,-52.36023578,-22.54124719,AF_01_JOANA
1997-10-22 21:00:00,-52.36104007,-22.53997589,AF_01_JOANA
1997-10-22 21:30:00,-52.35898059,-22.54016491,AF_01_JOANA
1997-10-23 04:30:00,-52.36131604,-22.54134644,AF_01_JOANA
1997-10-23 05:00:00,-52.36158305,-22.54081128,AF_01_JOANA
1997-10-23 05:30:00,-52.36018645,-22.54018181,AF_01_JOANA
1997-10-23 06:30:00,-52.3585741,-22.54035802,AF_01_JOANA
1997-10-23 07:00:00,-52.35731486,-22.54084735,AF_01_JOANA
1997-10-23 07:30:00,-52.35813377,-22.54007271,AF_01_JOANA
1997-10-23 19:00:00,-52.35649774,-22.53981554,AF_01_JOANA
1997-10-23 19:30:00,-52.35655793,-22.54000471,AF_01_JOANA
1997-10-23 20:00:00,-52.35599817,-22.54043394,AF_01_JOANA
1997-10-23 20:30:00,-52.36042542,-22.53877078,AF_01_JOANA
1997-10-23 21:00:00,-52.35598658,-22.5412379,AF_01_JOANA
1997-10-23 21:30:00,-52.35950146,-22.54172307,AF_01_JOANA
1997-10-24 22:00:00,-52.35973867,-22.53913787,AF_01_JOANA
1997-10-24 22:30:00,-52.36044858,-22.53914993,AF_01_JOANA
1997-10-24 23:00:00,-52.36061395,-22.53915757,AF_01_JOANA
1997-10-24 23:30:00,-52.36037929,-22.53902407,AF_01_JOANA
1997-10-25 00:00:00,-52.36059088,-22.53878744,AF_01_JOANA
1997-10-25 00:30:00,-52.35839345,-22.53878795,AF_01_JOANA
1997-10-25 01:00:00,-52.35933988,-22.53912318,AF_01_JOANA
1997-10-25 01:30:00,-52.3603608,-22.53813004,AF_01_JOANA
1997-10-25 02:00:00,-52.36167217,-22.53800153,AF_01_JOANA
1997-10-25 02:30:00,-52.36101381,-22.53928063,AF_01_JOANA
1997-10-25 03:00:00,-52.36097889,-22.53869384,AF_01_JOANA
1997-10-25 03:30:00,-52.3588709,-22.53789876,AF_01_JOANA
1997-10-25 04:00:00,-52.35992923,-22.53873884,AF_01_JOANA
1997-10-29 08:30:00,-52.36121085,-22.54053444,AF_01_JOANA
1997-10-29 09:00:00,-52.36061875,-22.5406388,AF_01_JOANA
