"","timestamp","GPS.Fix.Attempt","GPS.Latitude","GPS.Longitude","GPS.Altitude","GPS.Speed","GPS.Heading","GPS.Horizontal.Error","GPS.Horizontal.Dilution","GPS.Satellite.Count","GPS.Navigation.Time","individual.local.identifier"
"51","2017-06-12 19:00:00","Resolved QFP",-21.594057,-53.739944,327,NA,NA,NA,1.7,7,180,"1"
"52","2017-06-12 20:00:00","Resolved QFP",-21.593992,-53.739877,375,NA,NA,NA,1.5,7,180,"1"
"53","2017-06-12 21:00:00","Unresolved QFP",-21.595041,-53.73979,2,NA,NA,NA,25.5,4,180,"1"
"54","2017-06-12 22:00:00","Resolved QFP",-21.593587,-53.740522,238,NA,NA,NA,5.9,5,180,"1"
"55","2017-06-12 23:00:00","Unresolved QFP",-21.594018,-53.739684,1,NA,NA,NA,25.5,4,180,"1"
"56","2017-06-13 00:00:00","Resolved QFP",-21.594035,-53.739898,318,NA,NA,NA,1.3,6,180,"1"
"57","2017-06-13 01:00:00","Resolved QFP",-21.593863,-53.739909,314,NA,NA,NA,3,5,180,"1"
"58","2017-06-13 02:00:00","Unresolved QFP",-21.599433,-53.748097,258,NA,NA,NA,25.5,4,180,"1"
"59","2017-06-13 03:00:00","Resolved QFP",-21.594116,-53.7399,336,NA,NA,NA,2.2,5,180,"1"
"60","2017-06-13 04:00:00","Unresolved QFP",-21.596483,-53.739391,1,NA,NA,NA,25.5,4,180,"1"
"61","2017-06-13 05:00:00","Resolved QFP",-21.594706,-53.740547,553,NA,NA,NA,17.8,5,180,"1"
"62","2017-06-13 06:00:00","Resolved QFP",-21.594038,-53.739888,307,NA,NA,NA,5,6,180,"1"
"63","2017-06-13 07:00:00","Resolved QFP (Uncertain)",-21.591934,-53.741531,563,NA,NA,NA,25.5,5,180,"1"
"64","2017-06-13 08:00:00","Resolved QFP",-21.594084,-53.739859,303,NA,NA,NA,1.4,6,180,"1"
"65","2017-06-13 09:00:00","Resolved QFP",-21.594059,-53.739857,305,NA,NA,NA,1.5,5,180,"1"
"66","2017-06-13 10:00:00","Unresolved QFP",-21.593747,-53.738266,35,NA,NA,NA,25.5,4,180,"1"
"67","2017-06-13 11:00:00","Resolved QFP",-21.594046,-53.739797,280,NA,NA,NA,2.2,6,180,"1"
"68","2017-06-13 12:00:00","Resolved QFP",-21.593933,-53.739824,314,NA,NA,NA,1.8,5,180,"1"
"69","2017-06-13 13:00:00","Resolved QFP",-21.594105,-53.73988,331,NA,NA,NA,1.3,7,180,"1"
"70","2017-06-13 14:00:00","Resolved QFP",-21.594122,-53.739828,340,NA,NA,NA,1.6,5,180,"1"
"71","2017-06-13 15:00:00","Unresolved QFP",-21.593926,-53.739454,1,NA,NA,NA,25.5,4,180,"1"
"72","2017-06-13 16:00:00","Resolved QFP",-21.594197,-53.740055,323,NA,NA,NA,2.3,8,180,"1"
"73","2017-06-13 17:00:00","Resolved QFP",-21.594148,-53.739841,298,NA,NA,NA,1.5,7,180,"1"
"74","2017-06-13 18:00:00","Resolved QFP",-21.59422,-53.739606,209,NA,NA,NA,2.8,6,180,"1"
"75","2017-06-13 19:00:00","Resolved QFP",-21.594083,-53.739891,326,NA,NA,NA,1.8,6,180,"1"
"76","2017-06-13 20:00:00","Resolved QFP",-21.594101,-53.739816,296,NA,NA,NA,1.5,7,180,"1"
"77","2017-06-13 21:00:00","Unresolved QFP",-21.594647,-53.739307,2,NA,NA,NA,25.5,4,180,"1"
"78","2017-06-13 22:00:00","Resolved QFP",-21.594011,-53.739831,305,NA,NA,NA,6.2,5,180,"1"
"79","2017-06-13 23:00:00","Unresolved QFP",-21.594103,-53.738738,1,NA,NA,NA,25.5,4,180,"1"
"80","2017-06-14 00:00:00","Unresolved QFP",-21.601631,-53.745806,27,NA,NA,NA,25.5,4,180,"1"
"81","2017-06-14 01:00:00","Resolved QFP",-21.594297,-53.740063,325,NA,NA,NA,3,5,180,"1"
"82","2017-06-14 02:00:00","Resolved QFP",-21.594241,-53.740219,374,NA,NA,NA,3.8,6,180,"1"
"83","2017-06-14 03:00:00","Succeeded (3D)",-21.594012,-53.739933,320,0.49,47.1,46.14,1.8,4,145,"1"
"84","2017-06-14 04:00:00","Succeeded (3D)",-21.594042,-53.739965,313,0.48,51.3,51.68,1.8,5,108,"1"
"85","2017-06-14 05:00:00","Succeeded (3D)",-21.594186,-53.740015,314,1.26,329.8,55.14,1.8,4,70,"1"
"86","2017-06-14 06:00:00","Resolved QFP",-21.592876,-53.740731,649,NA,NA,NA,10.4,5,180,"1"
"87","2017-06-14 07:00:00","Resolved QFP",-21.594344,-53.739794,336,NA,NA,NA,2.4,6,180,"1"
"88","2017-06-14 08:00:00","Succeeded (3D)",-21.594037,-53.739797,288,0.78,117.4,44.29,1.6,4,84,"1"
"89","2017-06-14 09:00:00","Succeeded (3D)",-21.59403,-53.739864,308,0.04,45.7,27.88,1.4,5,47,"1"
"90","2017-06-14 10:00:00","Resolved QFP",-21.594009,-53.739861,330,NA,NA,NA,1.7,5,180,"1"
"91","2017-06-14 11:00:00","Resolved QFP",-21.593697,-53.739901,663,NA,NA,NA,2.1,5,180,"1"
"92","2017-06-14 12:00:00","Resolved QFP",-21.593915,-53.740007,319,NA,NA,NA,1.8,7,180,"1"
"93","2017-06-14 13:00:00","Resolved QFP",-21.594048,-53.739786,320,NA,NA,NA,3.2,5,180,"1"
"94","2017-06-14 14:00:00","Resolved QFP",-21.593913,-53.739835,320,NA,NA,NA,4.1,5,180,"1"
"95","2017-06-14 15:00:00","Resolved QFP",-21.593936,-53.739854,315,NA,NA,NA,1.7,5,180,"1"
"96","2017-06-14 16:00:00","Resolved QFP",-21.594474,-53.740453,306,NA,NA,NA,4.5,6,180,"1"
"97","2017-06-14 19:00:00","Succeeded (3D)",-21.594067,-53.739914,316,0.64,325.5,49.04,2.4,4,125,"2"
"98","2017-06-14 20:00:00","Succeeded (3D)",-21.594071,-53.739862,312,0.02,187.7,44.74,4.2,5,47,"2"
"99","2017-06-14 21:00:00","Succeeded (3D)",-21.594071,-53.739865,306,0,12,13.98,2.4,5,46,"2"
